City,country,"Meal, Inexpensive Restaurant ","Meal for 2 People, Mid-range Restaurant, Three-course ",McMeal at McDonalds (or Equivalent Combo Meal) ,Domestic Beer (0.5 liter draught) ,Imported Beer (0.33 liter bottle) ,Cappuccino (regular) ,Coke/Pepsi (0.33 liter bottle) ,Water (0.33 liter bottle)  ,"Milk (regular), (1 liter) ",Loaf of Fresh White Bread (500g) ,"Rice (white), (1kg) ",Eggs (regular) (12) ,Local Cheese (1kg) ,Chicken Fillets (1kg) ,Beef Round (1kg) (or Equivalent Back Leg Red Meat) ,Apples (1kg) ,Banana (1kg) ,Oranges (1kg) ,Tomato (1kg) ,Potato (1kg) ,Onion (1kg) ,Lettuce (1 head) ,Water (1.5 liter bottle) ,Bottle of Wine (Mid-Range) ,Domestic Beer (0.5 liter bottle) ,Cigarettes 20 Pack (Marlboro) ,One-way Ticket (Local Transport) ,Monthly Pass (Regular Price) ,Taxi Start (Normal Tariff) ,Taxi 1km (Normal Tariff) ,Taxi 1hour Waiting (Normal Tariff) ,Gasoline (1 liter) ,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) ,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) ,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment ",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) ,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) ","Fitness Club, Monthly Fee for 1 Adult ",Tennis Court Rent (1 Hour on Weekend) ,"Cinema, International Release, 1 Seat ","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child ","International Primary School, Yearly for 1 Child ",1 Pair of Jeans (Levis 501 Or Similar) ,"1 Summer Dress in a Chain Store (Zara, H&M, ...) ",1 Pair of Nike Running Shoes (Mid-Range) ,1 Pair of Men Leather Business Shoes ,Apartment (1 bedroom) in City Centre ,Apartment (1 bedroom) Outside of Centre ,Apartment (3 bedrooms) in City Centre ,Apartment (3 bedrooms) Outside of Centre ,Price per Square Meter to Buy Apartment in City Centre ,Price per Square Meter to Buy Apartment Outside of Centre ,Average Monthly Net Salary (After Tax) ,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate "
Surrey,Canada,19.61,80,10.25,7,3.75,5,2,2.05,2.41,2.66,5.57,3.87,13.11,11.83,16.17,3.88,1.66,3.68,5,2.06,2.99,3.06,2.43,17.99,2.46,17,3.27,120,3.48,1.95,35.43,1.59,25000,23287.5,126.25,0.3,84.44,45.56,16.25,15,950,6833.33,51.88,46.12,119.06,125,1685.71,1350,2894.44,2200,9839.75,5480.98,4499.73,2.52
Mississauga,Canada,16.5,80,11,5.5,3.27,3.65,1.6,1.46,2.01,2.76,2.72,3.29,15.66,12.84,15.16,3.9,1.45,3.55,4.24,2.69,2.54,2.46,1.69,14,3.01,15,3.5,137.5,4.25,1.98,33,1.38,24500,24704.57,165.81,0.92,70.31,45.68,34,13.99,1511.88,36000,65.23,56.25,118.89,131.67,1973.44,1634.76,3112.38,2587.38,10499.01,7554.78,4496.41,3.77
Calgary,Canada,20,80,10.99,7,4.18,4.43,2.03,1.7,2.02,2.51,2.94,3.58,13.93,13.34,15.63,4.59,1.93,4.17,5.01,2.33,2.76,2.77,1.93,15,3.71,16.5,3.5,110,4,2,33.8,1.38,27086.5,24747.47,208.4,0.3,89.39,75.14,21.6,15,1278.24,16575,64.51,56.44,98.47,122.83,1309.97,1102.06,2474.79,1849.12,4183.41,2944.29,4488.34,3.68
Vancouver,Canada,20,80,12,7,4.1,4.94,2.45,2.18,2.29,3.27,4.16,4.77,15.51,15.26,19.43,4,1.94,4,4.58,2.87,2.57,2.78,2.71,19.49,4.49,18,3.05,120,3.75,1.88,35,1.69,25500,23988.53,95.04,0.3,83.87,54.54,14.64,15,1298.96,27051.52,78.16,49.44,113.68,154.68,2141.14,1716.81,4236.76,2979.41,12152.28,9008.92,4481.56,3.96
Oakville,Canada,20,95,10,7,3.4,4.33,2.25,2.22,2.69,2.9,3.47,3.85,14.87,19.77,16.09,3.72,1.91,6.27,4.79,3.2,2.29,2.48,3.71,15,3.84,15,3.38,146,4.25,1.92,30,1.26,26000,25717.14,172.87,0.32,75.89,49.54,22.38,15,1936.34,22347.62,72.37,76,111.44,154.53,1933.33,1750,2650,2600,8860.89,7454.52,4414.18,2.71
Victoria,Canada,22,90,12,7,3.51,4.7,2.36,2.11,3.19,3.64,5.97,4.54,16.37,17.59,16.36,4.04,1.73,4.19,6.51,2.77,2.42,3.18,2.46,20,3.46,16.5,2.5,85,3.67,2,41.66,1.54,28500,26475,113.32,0.28,87.38,65.17,14.09,15,1131.25,17405.71,77.26,46.46,105.42,129.75,1746.67,1440.17,3021.82,2464.29,8893.38,4073.64,4380.1,2.52
Edmonton,Canada,20,80,12,6,3.58,5.14,2.52,2.28,2.35,2.8,3.81,3.63,12.28,12.79,15.69,4.14,1.92,4.06,3.85,3.25,2.48,2.44,2.54,15,3.34,15.5,3.5,100,3.83,1.65,30,1.33,30000,26170,223.29,0.35,84.38,55.4,21.5,15,1127.5,8892,69.26,42.21,105.71,128.85,1185.16,980.38,1974.04,1584.52,3654.15,2329.05,4290.23,3.39
London,Canada,16,100,12,6,3.09,4.74,2.29,1.89,2.71,2.56,3.27,3.11,12.47,11.8,15.14,4.42,1.27,4,5.56,2.19,2.05,2.4,1.56,15,2.84,14.99,3,95,3.88,2.46,35,1.37,27000,24547.27,144.26,0.33,71.64,31.43,36,13,1066.57,17000,70.37,48.5,103.6,113.44,1522.19,1217.57,2628.31,1962.64,6348.48,3628.41,4250.07,3.27
Coquitlam,Canada,20,92.5,11,7,2.4,4.69,2.07,1.71,2.7,2.16,4,3.39,18.67,15.32,13.94,3.43,1.5,4.32,4.26,1.68,2.87,2.29,2.22,20,2.1,18,3,98,4.17,3.4,33.55,1.35,30000,24266.25,92.77,0.31,75,46.38,18.33,15,1146.25,11000,64.29,39.38,117.5,143.57,1775,1394.44,3200,2405,6603.71,6341.59,4194.44,3.84
Brampton,Canada,15,72.5,10,6.5,3.47,3.21,1.99,1.36,2.16,2.47,3.08,3.41,17.73,12.21,16.75,4.2,1.74,4.61,4.16,2.37,1.67,2.46,1.76,15,2.88,16.2,3.67,128,5,2,25,1.2,26000,25050,267.34,0.41,66.5,36.71,25.83,15,960.42,18750,47.88,39.93,83.29,78.12,1620,1366.67,2562.5,2185.71,7439.94,4487.24,4184.21,3.08
Banff,Canada,25,80,10,6,2.14,5.12,2.33,2.5,2.11,2.95,4.54,3.3,17.1,12.18,11.35,4.8,1.36,4.25,4.63,2.02,3.62,2.99,2.7,18.99,1.84,17,2,68,6,4,22,1.01,20500,16198,180,0.39,86.4,62.8,30,12,745.42,13000,73.25,60,116.75,146.67,1450,1475,3166.67,3000,7825.53,8000,4112.5,3.55
Regina,Canada,15,80,12,6,4.8,4,2.64,2.21,2.37,3.21,3.24,3.74,13.07,10.86,16.81,3.44,1.55,3.9,3.31,3.86,3.23,2.32,2.2,16.5,3.09,17,3.25,88,4.5,1.81,30,1.24,30000,29813.33,186.37,0.27,80.9,44.42,16.25,14,958.33,4500,67.86,41.88,94.89,108.12,1012.5,885.71,1637.5,1500,4162.94,2663.04,4086.71,3.58
Richmond,Canada,22.5,60,8.5,6.5,3.12,5.06,2.32,2.01,0.81,2.72,3.06,1.55,11.65,7.13,12.21,4.24,1.16,3.94,3.95,2.71,1.89,1.22,1.81,10,2.73,7.5,1.75,60,2.75,1.55,30,0.71,22472.5,20907.14,160.13,0.13,67.8,26.75,8,12,737.5,12250,44.3,40.21,83.71,108.75,1243.24,1004.92,2148.31,1762.33,5051.28,1336.6,4057,2.53
Ottawa,Canada,20,80,12,7,2.87,4.67,2.57,1.95,2.26,2.97,3.99,3.46,13.3,14.65,20.07,4.5,1.62,4.1,4.36,2.61,2.71,2.42,1.68,15,2.76,14.5,3.6,122.5,3.85,1.86,24,1.37,28700,25442,156.01,0.28,77.96,63.47,29.38,15,1327.27,17142.86,69.96,44.76,105.38,130.64,1638,1232.69,2756.82,2066.67,5551.75,4049.36,4051.66,2.47
Richmond-Hill-Canada,Canada,15,82.5,11.29,6.5,3,4.58,1.92,1.61,2.51,2.74,2.75,3.42,15.5,14.51,19.91,3.25,1.5,3.22,3.97,2.64,2.65,2.01,1.27,12,2.73,15,4,150,4.5,2,30,1.12,25000,23500,210.98,0.5,81.24,48.33,41.33,15,1400,48260,50,58.33,87,107.5,1875,1568.75,2816.67,2666.67,8446.77,6690.98,3925,2.51
Halifax,Canada,17.5,80,12,6,4.71,4.34,2.32,2.12,2.2,2.84,5.17,3.93,11.19,14.07,18.85,5.35,2.2,5.56,5.83,4.29,3.67,3.68,2,20,3.95,18,2.75,82.5,3.25,1.73,27.85,1.34,24642.5,21035,163.04,0.22,89.42,47.05,20.75,14.99,936.11,25250,69.09,48.57,105.82,133.22,1493.8,1197.83,2437.5,1790.68,4537.33,3158.22,3900.54,3.89
Sherbrooke,Canada,15,60,11,6,5.16,3.6,2.5,2.12,2.61,3.38,4.12,3.39,9.12,13.59,8.49,4.34,3.18,4.09,4.59,2.02,2.38,2,1.73,14.5,4.16,11,3.3,80,3.5,1.75,39,1.28,22491.5,21986,95,0.25,61.2,29.17,0,8,463.33,4000,65.8,53.33,95,127.5,538.33,475,1146.43,975,2200,2000,3846.52,3.93
Guelph,Canada,22.5,100,10,6,3.23,5.42,2.14,1.76,2.06,3.23,4.69,3.92,27.5,17.5,24.25,3.85,1.45,3.88,3.64,3.01,3.12,2.77,2.55,17.5,2.9,15,3,80,3,2.4,32,1.29,26000,23878,171.97,0.43,67.38,53.29,12.67,16,1138.33,11000,59.33,35,103.75,117.5,1608.33,1440.91,2405.71,2442.14,4985.83,4300.87,3839.48,3.29
Winnipeg,Canada,16,60,10.96,6,3.91,4.49,2.33,2.07,1.83,2.44,3.52,3.56,12.1,14.79,15.79,3.91,1.78,3.72,4.96,3.5,2.85,2.8,1.87,15,3.55,18,3.05,102.05,3.85,1.72,31.3,1.31,27000,25992.37,186.5,0.37,86.03,45.16,26.62,14,681.29,18057.14,53,31.83,95.8,137.25,1019.71,991.04,1734.89,1609.1,2668.5,2865.84,3813.43,3.62
New-Westminster,Canada,20.5,70,11.54,7,3,4.83,1.74,1.51,2.54,2.87,4.66,3.51,8.5,11.33,16,2.75,1.86,4.11,5.06,2.83,3.33,2.46,2.76,15,2,18,3,131,3.67,1.93,34.46,1.28,22500,22197.5,106.82,0.45,87,84.29,20,15,1070,9500,59.38,34,106.25,123.33,1687.5,1450,2822.22,2422.5,7518.8,6200,3783.33,2.76
Newmarket,Canada,15,80,11.29,6,3.3,3.6,1.92,1.61,2.38,2.74,2.75,3.42,8.67,14.51,19.91,4.14,1.5,3.22,3.97,2.64,2.65,2.01,2.16,12,2.79,18,4.12,150,3.88,2,30,1.16,26147.5,24250,259.31,0.5,81.84,50.4,31.33,15,990,48260,51.43,46.67,101.67,107.8,1962.5,1983.33,3133.33,2533.33,5000,3500,3733.33,3.31
Sechelt-Canada,Canada,20.51,70,7.5,4.5,4,4.5,2.02,2.07,2.39,3.73,9.69,4.66,23.92,24.5,46,4.92,2.83,4.78,5.34,3.83,2.46,2.83,2.5,15,5.5,15.5,2,60,3.65,2.3,40,1.3,34085,50000,109.91,0.5,112.33,51.25,60,15,1300,3800,110,60,106.67,140,1366.67,1366.67,2466.67,2300,6581.96,12916.69,3700,2.71
Prince George,Canada,20.5,52.98,12,5.38,3.67,4.3,2.52,2.09,2.79,3.31,3.63,3.99,9.6,11.57,17.31,5.27,1.47,3.92,3.31,3.86,3.5,3.21,2.7,20.5,3.19,15.5,2.5,60,3.55,2,39,1.27,30000,31166.67,187.33,0.45,82.14,55.4,23.33,12.25,716.67,16500,59.88,43.4,116.25,128.12,1267.86,970.71,1750,1414.29,1963.66,1861.11,3643.57,2.69
Chilliwack,Canada,15,65,10.5,5.62,3.25,3.92,1.81,1.26,2.22,2.8,7.84,3.79,14.29,15.66,15.32,3.98,1.91,6.03,7.63,2.91,3.62,3.65,2.49,15,3.19,14.5,2,44,3.6,2.15,40,1.35,30000,25447.5,146.88,0.25,90.62,51.5,6.33,13,1316.67,4860,69,42.33,95.89,120.62,1296.88,1050,1887.5,1858.33,3718.29,3200,3636.71,2.6
Maple-Ridge-Canada,Canada,20,65,11,5.62,2.67,4.38,1.8,1.5,2.84,3.16,5.67,4.44,12.81,14.86,16.32,6.3,2.88,4.3,5.17,2.95,2.6,2.87,2.67,20,3.76,15,2.95,110,4.22,1.68,38,1.37,28000,29400,105.53,0.35,86.67,37,40,15,1100,10000,55.83,57.5,115,94.8,1514.29,1228.57,2400,2218.75,5059.04,4197.93,3604.08,3.11
Kelowna,Canada,18,75,10,7,4.38,4.93,2.39,2.57,2.75,2.6,2.83,3.83,10.46,12.99,13.94,3.84,1.38,3.71,4.1,1.97,1.72,2.64,1.83,17,4.33,15,2.5,70,3.5,2.2,38.87,1.49,29645,26019.5,155.86,0.43,103.37,59.57,26,12.5,900,25100,79.86,46.88,96.75,120.62,1628,1337.5,2776.92,2385,4698.98,3866.98,3585.13,2.98
Saskatoon,Canada,20,70,12,7,4.19,4.16,2.96,2.11,2.48,2.59,3.74,4.14,12.74,12.14,12.89,3.89,1.78,4.12,3.56,2.19,2.3,2.94,2.92,16,3.77,15.75,3,83,4,2.98,30,1.26,28000,26428.62,310.71,0.34,74.06,57.29,21.75,15,789.29,9433.33,60,52.71,100,121.11,1160.56,941.14,1800,1578.12,2867.51,4586.81,3572.78,3.46
Montreal,Canada,18,80,12,7,3.54,4.49,2.15,1.78,2.79,3.67,3.52,3.62,17.64,14.91,18.44,4.03,1.81,4.12,4.67,2.4,2.46,2.16,1.83,15,3.15,14,3.5,90,3.75,1.73,37.8,1.51,25000,25600.14,93.46,0.42,63.58,44.95,19.27,15,663.54,8333.33,78.79,45.98,104.72,138.12,1276.91,953.04,2281.82,1633.19,7525.51,4058.58,3515.62,2.48
Quebec City,Canada,17,70,12,6.5,3.38,4.32,2.21,1.51,1.97,3.07,3.78,3.27,14.41,12.36,16.78,3.83,1.83,3.84,4.51,3.93,2.3,2.14,1.3,15,2.42,15.25,3.5,89,3.5,1.75,39,1.38,25500,24000,86.96,0.4,65.06,48.43,37.67,13,715.14,7712.63,75.56,43.62,114.38,150.71,873.61,661.54,1515.38,1134.62,2909.72,3048.38,3487.9,3.81
Vaughan,Canada,17,70,11.5,7,2.57,4.12,2.25,1.44,3.57,3.07,4.33,4,15,14.63,16,4.25,2.77,3.33,4.5,3.5,2.83,2.6,1.83,19,2.5,13.5,3.5,145,3.85,2.25,30,1.1,27000,26000,206.88,0.4,84.68,48.75,30,12.99,1366.67,20000,66.5,65,125.88,147.6,1850,1658.33,2970,2490,9587.97,5111.58,3455,2.46
Hamilton,Canada,15,77.5,11.5,6,2.89,4.31,2.21,1.49,2.1,2.89,4.04,3.65,17.9,15.61,13.98,4.94,1.86,3.99,4.77,2.37,3.08,2.56,1.89,15,2.58,14.7,3.12,110,4.2,1.8,34.71,1.38,23000,21650,156.23,0.25,85.19,46.19,17.5,15,1328.57,15000,54.87,47.88,96.8,122,1538,1384,2300,2225,5833.92,6113.43,3387.89,2.31
Oshawa,Canada,15,80,11,5,3.3,3.58,1.66,1.53,3.9,2.58,3.37,3.3,19.41,15.05,10.84,4.14,1.54,4.92,3.43,2,1.74,2.11,2.16,17,2.79,15,3.75,117,3.88,1.9,30,1.23,26147.5,25550,259.31,0.43,81.84,49.17,36.25,12.97,990,12000,51.43,48,101.67,107.8,1464.29,1262.5,2387.5,2018.75,3421.87,2873.83,3341.23,3.5
Longueuil-Canada,Canada,15.5,55,12,6,2,4.12,2.09,1.3,2.44,3.67,2.8,3.58,14,14,17.45,3.33,1.79,4.12,4.12,2.4,2.1,1.95,1.83,14,1.64,10.5,3.5,102,3.75,1.73,37.8,1.17,25000,23000,93.46,0.25,63.58,33.75,50,13,663.54,8333.33,65,45.98,104.72,110.83,790,717.86,1433.33,1115,5248.27,3360.65,3333.33,2.61
Kamloops,Canada,20,80,10,6,4.73,4.21,2.52,1.56,2.73,2.94,4.38,4.2,15.99,18.26,21.33,4.85,1.32,4.47,5.83,4,4.58,2.66,1.83,17,2.2,15.5,2,50,3.75,2,34,1.34,30000,40000,142.7,0.67,82,37.5,26.67,13.75,944.23,9000,58.33,30.83,85.83,131.25,1304.17,1155.56,2300,2018.75,4286.78,4378.68,3107.43,2.71
Gatineau,Canada,20,60,12,7,3,3.99,1.81,1.69,2.38,3.22,5.63,3.14,25.01,8.64,10.24,4.24,1.66,3.56,7.24,2.23,3.13,1.93,1.6,12.5,3.16,12,4,99,4.12,1.75,30,1.2,26285,20253.33,99.56,0.5,65,62.33,20,12.5,660,8500,58.33,38.33,102.5,125.8,1109.29,765.71,1500,1257.5,2016,2515.5,2974,3.54
Penticton-Canada,Canada,16,70,10.25,6,5,4.69,1.74,1.51,2.54,2.89,5.16,3.51,12.75,14.67,22.09,2.1,1.01,4.17,6.61,3.73,2.65,2.16,2.67,15,4.14,15,2.25,65,3.65,3,33,1.33,24500,24625,166.5,0.5,71.14,55.83,24.33,14,566.67,16000,78.62,39.5,96.12,146.87,1343.75,1157.14,2225,1975,3202.76,3100,2920.38,2.62
Kingston,Canada,16.75,73.5,11.5,6,2.88,3.94,1.95,1.81,3.18,2.84,4.25,3.68,10.04,11.7,11.25,4.37,1.84,3.35,4,2.11,2.47,2.24,3.38,15.47,3.03,18,3.25,80,4,1.85,30,1.22,25000,22400,159.13,0.55,83.99,49.48,11.2,14,1580,40000,54.99,35,86.67,123.12,1395,1056.25,2249.38,1715,6362.76,5980.04,2916.29,2.46
Abbotsford,Canada,18,75,11.54,5,5.47,4.8,1.74,1.51,2.54,2.87,5.16,3.51,12.75,14.33,16,4.17,1.86,4.17,4.69,2.96,2.65,2.16,2.67,15,4.14,18,2.25,52,3.5,1.44,40,1.38,26000,24625,110.13,0.45,71.14,37.5,22.5,15,1000,16000,55,39.5,96.12,146.87,1392.86,1116.67,2140,1814.29,5285.17,4230.03,2894.14,2.31
Mascouche-Canada,Canada,20,100,10,10,2,5,2,2,2,2,5,3,12,9,11,2,2,2,4,4.41,2,3,3,17.5,3,12,3.25,85,3.5,2,60,1.43,21500,22667.5,93.75,0.05,69,20.67,25,12,965,6500,100,80,120.67,148.33,1155,833.33,1150,775,3000,3000,2865,3.43
Courtenay-Canada,Canada,20,75,12,6,3.17,4.94,2.33,2.18,2.29,2.45,3.5,3.77,14.33,11,15.28,4,1.94,4,3.6,2.87,2.57,2.23,2.71,19,3.04,14,2,50,3.65,1.88,35,1.35,25500,19495,95.04,0.3,77,90,7.5,12.5,900,3800,64.75,49.44,90,151.25,1325,1091.67,2266.67,1780,3882.38,2410,2825.12,3.06
Fredericton,Canada,24,70,12.25,6,4.31,4.28,2.11,1.75,2.85,4.03,7.83,3.71,10.75,15.75,11.54,4.63,1.74,4.26,3.89,2.83,3.13,2.6,2.06,14,5.14,18,2.75,80,6,1.88,34,1.24,30000,29333,147.29,0.33,93.75,66,18.25,12.25,640,17358,76.83,36,110.83,160,1033.46,846.11,1614.44,1250,1722.23,1076.39,2820.12,3.2
Kitchener,Canada,20,82.5,10,6.75,2.79,3.7,2.09,1.69,2.18,3.07,2.73,3.34,14.55,11.82,15.18,3.55,1.35,4.37,4.63,2,2.85,2.59,1.61,15,2.85,16.43,3.25,90,3.5,2.1,33.1,1.36,25187,26777.5,198.24,0.26,69.41,41.14,17.67,15,1225,18000,66.33,38.33,89.89,138.57,1584.44,1454.29,2149.18,2041.18,6697.99,5522.2,2765.11,2.65
Medicine-Hat,Canada,14,69.38,8.95,5,4.18,4.43,2.03,1.7,2.02,2.44,2.94,3.36,13.93,13.34,15.53,4.59,1.93,4.17,3.86,2.33,2.76,2.77,1.93,13,3.71,14,3.25,75,3.5,1.79,33.8,1.17,27086.5,24747.47,208.4,0.3,74.6,42.8,0,13,1278.24,16575,48.33,40,83.33,105,893,866.67,1425,1316.67,2325,2303.48,2732.67,2.51
Gander-Canada,Canada,12.5,60,11,4.5,2.75,3.87,1.94,1.51,2.78,2.97,2,3.88,10.38,13.77,14.43,5.45,1.92,4.34,5.33,1.65,2.65,2.97,1,18,3.38,15,2.5,80,4.25,2.5,22.5,1.27,22995,19350,245.85,0.28,109.25,75,18,13,771.43,8266.67,47.14,32.5,91.56,96.43,775,700,1325,1050,1614.64,1532.54,2726.75,3.6
Salmon Arm,Canada,16.25,47.5,9.5,5.5,2.5,5.25,2,1.88,3,3,12,4,25,25,25,3,2,3,5,3,3,4,3,25,3.03,20,3,69,4,1.5,30,1.21,25000,25000,256.25,0.17,67.5,55,0,12.5,900,4000,62.33,40,100,100,1100,1000,1866.67,1700,3229.17,3121.53,2699.5,2.6
North-Bay,Canada,15,45,10,5,3.12,3.6,2.12,1.74,3.16,2.93,3.39,3.01,14.54,13.58,21.54,4.84,1.84,3.95,4.67,2.77,3.06,3.5,2.33,15,3.93,13,3,86,4.85,2,30,1.11,28000,22000,80,0.5,76,44.5,10,13.75,700,5000,52.33,51.67,127.5,112,1058.33,946.83,1991.67,1912.5,8534.74,8334.74,2669.39,3.27
